run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124502","all cores","by declared alignment","4096 @32",4096,15.5235,15.3417,15.9483,0.99990,1.06794,0.11209,0.10446,"tie","tie"
"20260906-124502","all cores","by declared alignment","4096 @16",4096,15.2908,15.3976,15.8919,0.98842,1.05782,0.07252,0.06153,"tie","tie"
"20260906-124502","all cores","by declared alignment","4096 @8",4096,15.4173,15.6918,16.1285,1.00280,1.09270,0.19449,0.11433,"tie","tie"
"20260906-124502","all cores","by declared alignment","4096 @1",4096,15.1675,15.2962,15.6607,0.99066,1.04836,0.07262,0.06547,"tie","tie"
"20260906-124502","all cores","by address offset","256 +0",256,1.7616,1.7983,2.5287,0.97854,1.43684,0.19982,0.09277,"tie","we win"
"20260906-124502","all cores","by address offset","256 +1",256,2.0982,2.0538,2.5676,1.02213,1.25120,0.13702,0.12840,"tie","we win"
"20260906-124502","all cores","by address offset","256 +2",256,2.0261,2.0279,2.5204,1.01214,1.26492,0.04848,0.06965,"tie","we win"
"20260906-124502","all cores","by address offset","256 +4",256,2.4408,2.6061,2.5791,0.91497,1.04104,0.38754,0.41732,"tie","tie"
"20260906-124502","all cores","by address offset","256 +8",256,2.0060,1.9809,2.5369,1.00220,1.28826,0.08587,0.05418,"tie","we win"
"20260906-124502","all cores","by address offset","256 +15",256,2.4459,2.3739,2.5031,1.00535,1.05915,0.14349,0.16832,"tie","tie"
"20260906-124502","all cores","by address offset","256 +16",256,1.5700,1.5769,1.5976,0.99225,1.02147,0.08719,0.06068,"tie","tie"
"20260906-124502","all cores","by address offset","256 +31",256,1.9547,1.9402,2.6041,0.96063,1.34667,0.19240,0.10545,"tie","we win"
"20260906-124502","all cores","by address offset","4096 +0",4096,15.0689,15.2254,15.7821,0.99102,1.05732,0.05417,0.05265,"tie","we win"
"20260906-124502","all cores","by address offset","4096 +1",4096,15.3289,15.3581,15.7807,0.99470,1.08342,0.36673,0.07098,"tie","tie"
"20260906-124502","all cores","by address offset","4096 +2",4096,15.0225,14.9844,15.7342,1.00711,1.07224,0.05408,0.03801,"tie","we win"
"20260906-124502","all cores","by address offset","4096 +4",4096,15.5274,15.3122,15.9528,1.04412,1.10727,0.21196,0.11690,"tie","tie"
"20260906-124502","all cores","by address offset","4096 +8",4096,15.4767,15.2638,15.8845,1.01064,1.06737,0.10036,0.07400,"tie","tie"
"20260906-124502","all cores","by address offset","4096 +15",4096,15.3031,15.2766,16.3072,0.99265,1.10028,0.23755,0.11224,"tie","tie"
"20260906-124502","all cores","by address offset","4096 +16",4096,15.3790,15.2646,15.8424,1.00032,1.06642,0.09228,0.06700,"tie","tie"
"20260906-124502","all cores","by address offset","4096 +31",4096,15.1748,15.3750,16.1651,0.99384,1.09031,0.14401,0.11189,"tie","tie"
